,City,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,souillac,75,72,-20.52,57.52,19.0,3.6
1,havre-saint-pierre,1,76,50.23,-63.6,9.0,11.3
2,santa cruz,0,50,-17.8,-63.17,25.0,3.1
3,puerto ayora,20,57,-0.74,-90.35,26.0,10.3
4,albany,3,55,42.6,-73.97,16.67,1.25
5,mar del plata,30,38,-38.0,-57.56,16.11,7.2
6,punta arenas,40,56,-53.15,-70.92,5.0,8.7
7,rikitea,8,73,-23.12,-134.97,23.16,2.73
8,tiksi,6,90,71.69,128.87,3.26,0.04
9,jamestown,1,51,42.1,-79.24,18.89,2.1
10,port lincoln,100,53,-34.73,135.87,13.68,2.67
11,chokurdakh,98,83,70.63,147.92,3.73,3.89
12,rio grande,94,77,-32.03,-52.1,14.21,6.67
13,hermanus,30,92,-34.42,19.23,8.33,3.14
14,serowe,44,24,-22.38,26.72,20.27,4.32
15,tilichiki,3,75,60.47,166.1,7.59,3.48
16,belize,20,63,17.25,-88.75,33.0,3.1
17,cedar city,1,7,37.68,-113.06,31.0,4.6
18,praia,46,83,14.92,-23.51,26.47,4.32
19,kodiak,94,94,57.79,-152.41,12.41,6.22
20,bambous virieux,75,72,-20.34,57.76,20.0,3.6
21,prainha,99,38,-1.8,-53.48,31.88,1.75
22,sao filipe,85,82,14.9,-24.5,26.56,3.39
23,ubinskoye,96,65,55.31,79.68,14.15,6.25
24,constitucion,100,86,-35.33,-72.42,11.85,2.29
25,monchegorsk,88,86,67.94,32.87,5.84,0.69
26,morropon,23,35,-5.18,-79.97,30.95,6.29
27,tuktoyaktuk,20,80,69.45,-133.04,2.0,4.6
28,petrovsk-zabaykalskiy,2,92,51.27,108.84,1.85,0.96
29,putnok,83,73,48.3,20.43,19.03,0.71
30,lasa,5,93,46.62,10.7,15.0,0.5
31,mataura,100,79,-46.19,168.86,9.44,6.26
32,tagusao,100,87,9.19,117.81,26.45,8.12
33,rawson,30,48,-43.3,-65.1,9.69,7.07
34,provideniya,75,81,64.38,-173.3,9.0,4.0
35,sioux lookout,75,59,50.1,-91.92,16.0,3.1
36,ankazoabo,65,76,-22.28,44.52,19.79,2.49
37,hamilton,1,43,39.18,-84.53,23.89,2.6
38,hilo,40,58,19.73,-155.09,29.0,4.1
39,igarka,1,91,67.47,86.58,8.04,3.86
40,vila franca do campo,20,55,37.72,-25.43,18.0,3.1
41,mihalyi,0,88,47.51,17.1,17.0,0.86
42,norman wells,20,57,65.28,-126.83,9.0,5.7
43,derzhavinsk,8,68,51.1,66.32,9.3,8.94
44,akyab,100,84,20.15,92.9,27.35,1.97
45,turukhansk,75,83,65.82,87.98,9.25,4.02
46,shahrud,0,49,36.42,54.98,13.52,2.58
47,new norfolk,100,65,-42.78,147.06,10.0,2.68
48,zhigansk,0,88,66.77,123.37,4.86,3.4
49,santa teresa,26,74,10.23,-66.66,27.4,1.71
50,hobart,90,70,-42.88,147.33,11.11,2.6
51,ushuaia,40,74,-54.8,-68.3,3.0,10.3
52,amga,26,91,60.9,131.96,4.37,1.14
53,makakilo city,1,58,21.35,-158.09,30.0,5.7
54,portland,90,56,45.52,-122.68,24.44,1.5
55,busselton,40,80,-33.65,115.33,11.11,4.77
56,severo-kurilsk,47,74,50.68,156.12,12.26,6.22
57,esperance,90,93,-33.87,121.9,14.0,6.2
58,cherskiy,95,78,68.75,161.3,6.06,1.86
59,yellowknife,20,34,62.46,-114.35,2.22,5.1
60,ponta do sol,40,78,32.67,-17.1,23.0,5.1
61,dubti,7,39,11.74,41.09,34.41,3.75
62,cape town,6,76,-33.93,18.42,11.0,2.1
63,san nicolas,75,94,18.17,120.6,26.0,1.5
64,naze,20,94,28.37,129.48,27.0,1.5
65,vaini,40,78,-21.2,-175.2,24.0,6.2
66,noumea,40,46,-22.28,166.46,23.33,5.7
67,muisne,75,78,0.6,-80.03,27.0,5.1
68,kapaa,20,58,22.08,-159.32,30.0,4.6
69,broome,20,41,42.25,-75.83,17.22,1.5
70,qaanaaq,0,81,77.48,-69.36,-6.68,1.05
71,burnie,100,82,-41.07,145.92,9.44,1.34
72,clovis,20,27,36.83,-119.7,33.33,2.1
73,mwingi,37,89,-0.93,38.06,18.06,2.31
74,port elizabeth,20,77,-33.92,25.57,15.0,3.1
75,lebyazhye,19,96,55.27,66.49,6.8,3.22
76,stornoway,83,87,58.21,-6.39,11.0,3.6
77,olafsvik,100,72,64.89,-23.71,7.27,4.85
78,novo aripuana,99,38,-5.12,-60.38,31.39,0.19
79,guerrero negro,0,29,27.98,-114.06,31.46,6.37
80,viseu,24,77,40.66,-7.91,16.67,0.14
81,vanimo,90,72,-2.67,141.3,27.1,1.98
82,chadiza,3,42,-14.07,32.44,20.11,2.04
83,bluff,100,79,-46.6,168.33,9.44,6.26
84,muros,35,91,42.78,-9.06,16.67,0.45
85,cabo san lucas,20,66,22.89,-109.91,31.0,7.7
86,kwale,100,95,5.71,6.44,23.49,1.93
87,labuhan,35,78,-6.88,112.21,24.4,4.09
88,dingle,100,93,11.0,122.67,24.28,0.84
89,bongor,0,94,10.28,15.37,23.14,1.47
90,hasaki,75,94,35.73,140.83,21.11,3.1
91,snasa,100,86,64.25,12.38,8.44,2.4
92,beroroha,80,64,-21.67,45.17,23.3,1.83
93,campbell river,90,77,50.02,-125.24,18.33,2.1
94,teknaf,98,90,20.86,92.31,26.4,2.59
95,beringovskiy,100,87,63.05,179.32,8.79,4.92
96,arraial do cabo,75,88,-22.97,-42.03,23.0,4.1
97,yokadouma,81,94,3.52,15.05,21.46,0.2
98,hobyo,0,84,5.35,48.53,25.18,10.33
99,bredasdorp,36,76,-34.53,20.04,11.0,1.5
100,san juan,0,18,-31.54,-68.54,24.18,5.14
101,atuona,16,76,-9.8,-139.03,25.77,8.36
102,isangel,75,69,-19.55,169.27,24.0,3.6
103,longido,33,80,-2.73,36.68,18.13,3.96
104,lavrentiya,99,92,65.58,-171.0,7.49,4.75
105,saskylakh,83,77,71.92,114.08,7.16,2.6
106,bayonet point,100,87,28.33,-82.68,27.78,4.32
107,kanashevo,75,100,55.22,62.06,9.0,7.0
108,pevek,98,83,69.7,170.31,5.71,2.42
109,thompson,75,58,55.74,-97.86,11.0,7.7
110,garowe,55,53,8.41,48.48,27.83,8.62
111,banyo,100,92,6.75,11.82,18.58,1.01
112,alta floresta,12,19,-9.88,-56.09,30.98,1.2
113,badiraguato,30,57,25.37,-107.52,36.67,0.89
114,carnarvon,0,100,-24.87,113.63,18.0,6.2
115,porto novo,20,94,6.5,2.6,23.0,1.5
116,kupang,20,64,-10.17,123.58,23.0,3.1
117,barrow,90,88,71.29,-156.79,2.0,12.9
118,isoka,28,53,-10.16,32.63,18.77,1.23
119,butaritari,90,73,3.07,172.79,28.69,8.27
120,ribeira grande,54,60,38.52,-28.7,18.9,6.51
121,zhuhai,40,89,22.28,113.57,29.0,4.6
122,san carlos de bariloche,75,50,-41.15,-71.31,11.0,6.2
123,fortuna,20,61,40.6,-124.16,26.67,5.7
124,grand gaube,95,67,-20.01,57.66,20.0,3.13
125,saint-philippe,75,63,-21.36,55.77,18.0,3.6
126,udachnyy,15,87,66.42,112.4,7.0,2.0
127,geilo,100,91,60.53,8.21,8.33,4.71
128,tocopilla,20,51,-22.09,-70.2,18.76,4.89
129,wanning,90,84,18.8,110.4,26.63,0.61
130,hithadhoo,91,72,-0.6,73.08,27.32,3.3
131,dikson,100,94,73.51,80.55,6.39,10.07
132,airai,27,68,-8.93,125.41,12.62,1.37
133,mount gambier,100,93,-37.83,140.77,7.0,3.6
134,tromso,75,81,69.65,18.96,8.0,5.1
135,coihaique,40,39,-45.58,-72.07,9.0,3.1
136,colombia,100,88,20.99,-77.43,27.0,1.5
137,ilulissat,100,49,69.22,-51.1,8.0,8.2
138,roebourne,3,35,-20.78,117.13,24.72,3.52
139,bengkulu,77,91,-3.8,102.27,23.59,2.46
140,broken hill,39,40,-31.95,141.43,12.0,3.1
141,abu dhabi,0,62,24.47,54.37,32.0,1.5
142,georgetown,20,94,5.41,100.34,26.0,1.0
143,saint-pierre,75,63,-21.34,55.48,18.0,3.6
144,goure,87,69,13.98,10.27,27.78,1.62
145,berezovyy,83,85,51.67,135.7,14.21,0.57
146,clyde river,75,80,70.47,-68.59,2.0,3.1
147,necochea,11,59,-38.55,-58.74,12.22,1.79
148,vanavara,51,90,60.34,102.28,5.92,0.58
149,tasiilaq,100,94,65.61,-37.64,1.0,14.9
150,nalut,57,65,30.33,10.85,21.69,5.73
151,charters towers,0,73,-20.1,146.27,19.04,6.35
152,upernavik,0,85,72.79,-56.15,-2.33,4.61
153,touros,40,78,-5.2,-35.46,25.0,3.6
